Run,Map,Algorithm,Rep,Outcome,AgentName,Replans,Recoveries,Shots,CellsVisited,InitialPathLen,DeadAtEnd
1,Rooms32,AStar,1,EagleDestroyed,Enemy_3,27,1,2369,11,21,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_5,2462,0,0,10,36,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_4,2462,0,0,9,31,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_6,23,0,2666,9,21,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_1,2462,0,0,8,25,0
1,Rooms32,AStar,1,EagleDestroyed,Enemy_2,2462,0,0,6,30,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_6,21,0,2242,8,21,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_3,28,0,1868,11,21,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_2,1247,1,0,16,30,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_5,1176,0,0,18,36,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_4,1249,0,0,18,33,0
2,Rooms32,PIBT,1,EagleDestroyed,EnemyPIBT_1,27,0,1950,10,25,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_1,65,0,1219,22,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_4,66,0,560,28,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_5,64,0,600,30,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_6,64,1,1892,16,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_3,64,0,1720,19,0,0
3,Rooms32,PIBT_TCP,1,EagleDestroyed,EnemyPIBT_TCP_2,65,0,1065,24,0,0
