Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
1,Alpha32,AStar,1,EagleDestroyed,38.18,-1,500,0.0,6,6,183,9,56294,55
2,Alpha32,AStar,2,EagleDestroyed,38.16,-1,500,0.0,6,6,184,5,74292,73
3,Alpha32,AStar,3,EagleDestroyed,38.50,-1,500,0.0,6,6,185,7,52219,70
4,Alpha32,AStar,4,EagleDestroyed,38.59,-1,500,0.0,6,6,184,4,71090,48
5,Alpha32,AStar,5,EagleDestroyed,38.43,-1,500,0.0,6,6,188,3,66491,62
6,Alpha32,AStar,6,EagleDestroyed,38.05,-1,500,0.0,6,6,185,8,74408,69
7,Alpha32,PIBT,1,EagleDestroyed,37.78,-1,500,0.0,6,6,177,36,46593,48
8,Alpha32,PIBT,2,EagleDestroyed,37.38,-1,500,0.0,6,6,186,49,49473,39
9,Alpha32,PIBT,3,EagleDestroyed,36.81,-1,500,0.0,6,6,193,41,35996,50
10,Alpha32,PIBT,4,EagleDestroyed,38.20,-1,500,0.0,6,6,215,64,84215,57
11,Alpha32,PIBT,5,EagleDestroyed,36.98,-1,500,0.0,6,6,166,42,55316,50
12,Alpha32,PIBT,6,EagleDestroyed,36.87,-1,500,0.0,6,6,179,19,61905,50
13,Alpha32,PIBT_TCP,1,EagleDestroyed,37.70,-1,500,0.0,6,6,513,3,43807,109
14,Alpha32,PIBT_TCP,2,EagleDestroyed,38.13,-1,500,0.0,6,6,534,3,55621,104
15,Alpha32,PIBT_TCP,3,EagleDestroyed,39.28,-1,500,0.0,6,6,431,3,62166,96
16,Alpha32,PIBT_TCP,4,EagleDestroyed,37.59,-1,500,0.0,6,6,388,3,75031,103
17,Alpha32,PIBT_TCP,5,EagleDestroyed,38.18,-1,500,0.0,6,6,439,3,55748,95
18,Alpha32,PIBT_TCP,6,EagleDestroyed,37.83,-1,500,0.0,6,6,461,3,56580,92
19,Mansion,AStar,1,EagleDestroyed,109.92,-1,500,0.0,6,6,765,7,49388,315
20,Mansion,AStar,2,EagleDestroyed,109.23,-1,500,0.0,6,6,769,9,42637,299
21,Mansion,AStar,3,EagleDestroyed,109.00,-1,500,0.0,6,6,772,9,44718,262
22,Mansion,AStar,4,EagleDestroyed,109.27,-1,500,0.0,6,6,768,8,44166,294
23,Mansion,AStar,5,EagleDestroyed,110.06,-1,500,0.0,6,6,771,6,63139,313
24,Mansion,AStar,6,EagleDestroyed,108.74,-1,500,0.0,6,6,776,8,53768,293
25,Mansion,PIBT,1,EagleDestroyed,170.17,-1,500,0.0,6,6,3011,195,43497,279
26,Mansion,PIBT,2,EagleDestroyed,135.35,-1,500,0.0,6,6,3616,243,45174,249
27,Mansion,PIBT,3,EagleDestroyed,147.96,-1,500,0.0,6,6,2439,237,58895,243
28,Mansion,PIBT,4,EagleDestroyed,156.74,-1,500,0.0,6,6,3525,509,60348,228
29,Mansion,PIBT,5,EagleDestroyed,152.96,-1,500,0.0,6,6,3434,328,61039,248
30,Mansion,PIBT,6,EagleDestroyed,130.10,-1,500,0.0,6,6,3506,443,33891,217
31,Mansion,PIBT_TCP,1,EagleDestroyed,119.62,-1,500,0.0,6,6,999,11,42112,473
