Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
1,Alpha32,AStar,1,EagleDestroyed,24.98,-1,500,0.0,6,6,140,0,2716,44
2,Alpha32,AStar,2,EagleDestroyed,25.50,-1,500,0.0,6,6,151,0,3564,49
3,Alpha32,AStar,3,EagleDestroyed,24.80,-1,500,0.0,6,6,149,0,3437,45
4,Alpha32,AStar,4,EagleDestroyed,24.78,-1,500,0.0,6,6,139,0,3251,53
5,Alpha32,AStar,5,EagleDestroyed,25.33,-1,500,0.0,6,6,148,0,3784,45
6,Alpha32,AStar,6,EagleDestroyed,25.24,-1,500,0.0,6,6,138,0,4123,47
7,Alpha32,PIBT,1,EagleDestroyed,23.45,-1,500,0.0,6,6,191,0,2823,45
8,Alpha32,PIBT,2,EagleDestroyed,22.92,-1,500,0.0,6,6,219,0,2396,44
9,Alpha32,PIBT,3,EagleDestroyed,23.71,-1,500,0.0,6,6,191,0,2096,49
10,Alpha32,PIBT,4,EagleDestroyed,23.90,-1,500,0.0,6,6,198,0,1664,36
11,Alpha32,PIBT,5,EagleDestroyed,24.52,-1,500,0.0,6,6,193,0,2555,42
12,Alpha32,PIBT,6,EagleDestroyed,22.99,-1,500,0.0,6,6,185,0,2429,52
13,Alpha32,PIBT_TCP,1,EagleDestroyed,26.58,-1,500,0.0,6,6,189,0,15095,88
14,Alpha32,PIBT_TCP,2,EagleDestroyed,26.07,-1,500,0.0,6,6,176,0,13888,84
15,Alpha32,PIBT_TCP,3,EagleDestroyed,26.44,-1,500,0.0,6,6,185,0,13187,100
16,Alpha32,PIBT_TCP,4,EagleDestroyed,25.71,-1,500,0.0,6,6,148,0,12811,111
17,Alpha32,PIBT_TCP,5,EagleDestroyed,25.17,-1,500,0.0,6,6,165,0,15349,77
18,Alpha32,PIBT_TCP,6,EagleDestroyed,25.22,-1,500,0.0,6,6,198,0,12076,89
19,Mansion,AStar,1,EagleDestroyed,91.72,-1,500,0.0,6,6,501,0,416,181
20,Mansion,AStar,2,EagleDestroyed,92.78,-1,500,0.0,6,6,538,0,399,197
21,Mansion,AStar,3,EagleDestroyed,90.85,-1,500,0.0,6,6,565,0,463,192
22,Mansion,AStar,4,EagleDestroyed,92.60,-1,500,0.0,6,6,522,0,381,160
23,Mansion,AStar,5,EagleDestroyed,94.42,-1,500,0.0,6,6,497,0,449,189
24,Mansion,AStar,6,EagleDestroyed,91.87,-1,500,0.0,6,6,557,0,388,177
25,Mansion,PIBT,1,EagleDestroyed,121.95,-1,500,0.0,6,6,546,0,84,175
26,Mansion,PIBT,2,EagleDestroyed,120.05,-1,500,0.0,6,6,675,0,97,183
27,Mansion,PIBT,3,EagleDestroyed,121.33,-1,500,0.0,6,6,671,0,67,188
28,Mansion,PIBT,4,EagleDestroyed,120.91,-1,500,0.0,6,6,622,0,91,195
29,Mansion,PIBT,5,EagleDestroyed,118.41,-1,500,0.0,6,6,604,0,65,149
30,Mansion,PIBT,6,EagleDestroyed,120.47,-1,500,0.0,6,6,548,0,94,205
31,Mansion,PIBT_TCP,1,EagleDestroyed,92.91,-1,500,0.0,6,6,579,0,1455,347
32,Mansion,PIBT_TCP,2,EagleDestroyed,98.53,-1,500,0.0,6,6,560,0,1159,397
33,Mansion,PIBT_TCP,3,EagleDestroyed,95.76,-1,500,0.0,6,6,621,0,1488,452
34,Mansion,PIBT_TCP,4,EagleDestroyed,92.40,-1,500,0.0,6,6,650,0,1490,334
35,Mansion,PIBT_TCP,5,EagleDestroyed,93.08,-1,500,0.0,6,6,581,0,2000,491
36,Mansion,PIBT_TCP,6,EagleDestroyed,93.94,-1,500,0.0,6,6,596,0,1528,377
37,Chantry,AStar,1,EagleDestroyed,88.65,-1,500,0.0,6,6,543,0,517,220
38,Chantry,AStar,2,EagleDestroyed,85.17,-1,500,0.0,6,6,552,0,791,208
39,Chantry,AStar,3,EagleDestroyed,87.54,-1,500,0.0,6,6,523,0,832,185
40,Chantry,AStar,4,EagleDestroyed,87.53,-1,500,0.0,6,6,559,0,700,208
41,Chantry,AStar,5,EagleDestroyed,86.68,-1,500,0.0,6,6,507,0,478,271
42,Chantry,AStar,6,EagleDestroyed,87.36,-1,500,0.0,6,6,496,0,561,233
43,Chantry,PIBT,1,EagleDestroyed,109.90,-1,500,0.0,6,6,591,0,87,227
44,Chantry,PIBT,2,EagleDestroyed,112.26,-1,500,0.0,6,6,609,0,87,200
45,Chantry,PIBT,3,EagleDestroyed,110.94,-1,500,0.0,6,6,526,0,74,252
46,Chantry,PIBT,4,EagleDestroyed,110.43,-1,500,0.0,6,6,538,0,83,214
47,Chantry,PIBT,5,EagleDestroyed,110.60,-1,500,0.0,6,6,581,0,92,244
48,Chantry,PIBT,6,EagleDestroyed,109.64,-1,500,0.0,6,6,491,0,87,188
49,Chantry,PIBT_TCP,1,EagleDestroyed,95.18,-1,500,0.0,6,6,649,0,2129,415
50,Chantry,PIBT_TCP,2,EagleDestroyed,94.41,-1,500,0.0,6,6,645,0,1509,419
51,Chantry,PIBT_TCP,3,EagleDestroyed,92.73,-1,500,0.0,6,6,651,0,2339,445
