Environment,AgentCount,Algorithm,SuccessRatePct,TimeoutRatePct,DurationMean,ReplanMean,RecovMean,CellsMean
static,6,AStar,80.0,20.0,111.5,801,0.0,397
static,6,PIBT,80.0,20.0,113.1,2631,0.0,362
static,6,PIBT_TCP,80.0,20.0,113.2,928,0.0,557
static,12,AStar,80.0,20.0,123.1,2081,0.0,842
static,12,PIBT,80.0,20.0,124.9,7882,0.0,767
static,12,PIBT_TCP,80.0,20.0,127.7,2097,0.0,1181
static,24,AStar,80.0,20.0,136.5,5578,0.0,1787
static,24,PIBT,80.0,20.0,138.6,24019,0.0,1627
static,24,PIBT_TCP,40.0,60.0,143.9,4724,0.0,2506
static,36,AStar,40.0,60.0,145.0,10056,0.0,2775
static,36,PIBT,40.0,60.0,145.4,46372,0.0,2526
static,36,PIBT_TCP,20.0,80.0,153.8,7579,0.0,3891
static,72,AStar,20.0,80.0,155.1,28029,0.0,5889
static,72,PIBT,20.0,80.0,154.0,143946,0.0,5358
static,72,PIBT_TCP,20.0,80.0,155.1,15338,0.0,8256
dynamic,6,AStar,80.0,20.0,123.6,971,11.8,345
dynamic,6,PIBT,80.0,20.0,134.3,2762,283.4,279
dynamic,6,PIBT_TCP,80.0,20.0,132.1,1235,24.6,508
dynamic,12,AStar,80.0,20.0,135.5,2585,38.3,731
dynamic,12,PIBT,80.0,20.0,148.1,8321,924.5,592
dynamic,12,PIBT_TCP,80.0,20.0,144.0,2697,81.4,1078
dynamic,24,AStar,80.0,20.0,144.9,7078,125.5,1551
dynamic,24,PIBT,80.0,20.0,151.9,25487,3030.6,1256
dynamic,24,PIBT_TCP,40.0,60.0,150.5,5632,270.7,2287
dynamic,36,AStar,40.0,60.0,148.8,12897,251.5,2408
dynamic,36,PIBT,40.0,60.0,153.7,49348,6082.6,1950
dynamic,36,PIBT_TCP,20.0,80.0,154.8,8691,547.6,3551
dynamic,72,AStar,20.0,80.0,156.0,36518,827.9,5111
dynamic,72,PIBT,20.0,80.0,155.7,153889,20085.6,4138
dynamic,72,PIBT_TCP,20.0,80.0,156.3,17591,1832.5,7535
