Environment,Map,AgentCount,Algorithm,Outcome,DurationMean,ReplanMean,RecovMean,CellsMean
static,Alpha32,6,AStar,EagleDestroyed,35.4,161,0.0,63
static,Alpha32,6,PIBT,EagleDestroyed,32.0,138,0.0,58
static,Alpha32,6,PIBT_TCP,EagleDestroyed,34.6,396,0.0,105
static,Alpha32,12,AStar,EagleDestroyed,40.1,440,0.0,131
static,Alpha32,12,PIBT,EagleDestroyed,36.3,390,0.0,121
static,Alpha32,12,PIBT_TCP,EagleDestroyed,40.4,924,0.0,219
static,Alpha32,24,AStar,EagleDestroyed,45.4,1202,0.0,274
static,Alpha32,24,PIBT,EagleDestroyed,41.1,1104,0.0,252
static,Alpha32,24,PIBT_TCP,EagleDestroyed,45.7,2094,0.0,456
static,Alpha32,36,AStar,EagleDestroyed,48.9,2164,0.0,421
static,Alpha32,36,PIBT,EagleDestroyed,44.2,2028,0.0,388
static,Alpha32,36,PIBT_TCP,EagleDestroyed,49.2,3379,0.0,702
static,Alpha32,72,AStar,EagleDestroyed,55.4,5910,0.0,878
static,Alpha32,72,PIBT,EagleDestroyed,50.0,5736,0.0,808
static,Alpha32,72,PIBT_TCP,EagleDestroyed,55.7,7655,0.0,1463
static,Mansion,6,AStar,EagleDestroyed,98.4,676,0.0,314
static,Mansion,6,PIBT,EagleDestroyed,103.4,3582,0.0,305
static,Mansion,6,PIBT_TCP,EagleDestroyed,101.0,806,0.0,466
static,Mansion,12,AStar,EagleDestroyed,111.5,1847,0.0,654
static,Mansion,12,PIBT,EagleDestroyed,117.1,10132,0.0,636
static,Mansion,12,PIBT_TCP,EagleDestroyed,117.9,1881,0.0,972
static,Mansion,24,AStar,EagleDestroyed,126.3,5046,0.0,1365
static,Mansion,24,PIBT,EagleDestroyed,132.7,28656,0.0,1326
static,Mansion,24,PIBT_TCP,EagleDestroyed,133.5,4262,0.0,2026
static,Mansion,36,AStar,EagleDestroyed,135.9,9084,0.0,2098
static,Mansion,36,PIBT,EagleDestroyed,142.8,52644,0.0,2038
static,Mansion,36,PIBT_TCP,Timeout,180.0,8617,0.0,3113
static,Mansion,72,AStar,Timeout,180.0,24818,0.0,4374
static,Mansion,72,PIBT,Timeout,180.0,148901,0.0,4248
static,Mansion,72,PIBT_TCP,Timeout,180.0,17234,0.0,6491
static,Chantry,6,AStar,EagleDestroyed,131.6,944,0.0,454
static,Chantry,6,PIBT,EagleDestroyed,127.8,3617,0.0,388
static,Chantry,6,PIBT_TCP,EagleDestroyed,134.2,1079,0.0,663
static,Chantry,12,AStar,EagleDestroyed,153.3,2862,0.0,973
static,Chantry,12,PIBT,EagleDestroyed,148.8,11752,0.0,832
static,Chantry,12,PIBT_TCP,EagleDestroyed,161.0,2589,0.0,1421
static,Chantry,24,AStar,EagleDestroyed,178.5,8675,0.0,2086
static,Chantry,24,PIBT,EagleDestroyed,173.3,38182,0.0,1783
static,Chantry,24,PIBT_TCP,Timeout,180.0,5789,0.0,3046
static,Chantry,36,AStar,Timeout,180.0,16596,0.0,3258
static,Chantry,36,PIBT,Timeout,180.0,76068,0.0,2785
static,Chantry,36,PIBT_TCP,Timeout,180.0,8684,0.0,4758
static,Chantry,72,AStar,Timeout,180.0,50311,0.0,6985
static,Chantry,72,PIBT,Timeout,180.0,247148,0.0,5970
static,Chantry,72,PIBT_TCP,Timeout,180.0,17367,0.0,10200
static,Gallows,6,AStar,EagleDestroyed,112.3,785,0.0,423
static,Gallows,6,PIBT,EagleDestroyed,122.1,4405,0.0,388
static,Gallows,6,PIBT_TCP,EagleDestroyed,116.1,926,0.0,563
static,Gallows,12,AStar,EagleDestroyed,130.8,2380,0.0,907
static,Gallows,12,PIBT,EagleDestroyed,142.2,14312,0.0,832
static,Gallows,12,PIBT_TCP,EagleDestroyed,139.3,2222,0.0,1206
static,Gallows,24,AStar,EagleDestroyed,152.3,7214,0.0,1944
static,Gallows,24,PIBT,EagleDestroyed,165.7,46499,0.0,1783
static,Gallows,24,PIBT_TCP,Timeout,180.0,5742,0.0,2587
static,Gallows,36,AStar,Timeout,180.0,13801,0.0,3036
static,Gallows,36,PIBT,Timeout,180.0,92641,0.0,2785
static,Gallows,36,PIBT_TCP,Timeout,180.0,8613,0.0,4041
static,Gallows,72,AStar,Timeout,180.0,41837,0.0,6508
static,Gallows,72,PIBT,Timeout,180.0,300992,0.0,5969
static,Gallows,72,PIBT_TCP,Timeout,180.0,17225,0.0,8662
static,Maze128,6,AStar,Timeout,180.0,1439,0.0,731
static,Maze128,6,PIBT,Timeout,180.0,1413,0.0,669
static,Maze128,6,PIBT_TCP,Timeout,180.0,1434,0.0,988
static,Maze128,12,AStar,Timeout,180.0,2878,0.0,1545
static,Maze128,12,PIBT,Timeout,180.0,2826,0.0,1414
static,Maze128,12,PIBT_TCP,Timeout,180.0,2868,0.0,2089
static,Maze128,24,AStar,Timeout,180.0,5756,0.0,3267
static,Maze128,24,PIBT,Timeout,180.0,5652,0.0,2990
static,Maze128,24,PIBT_TCP,Timeout,180.0,5736,0.0,4416
static,Maze128,36,AStar,Timeout,180.0,8634,0.0,5062
static,Maze128,36,PIBT,Timeout,180.0,8478,0.0,4633
static,Maze128,36,PIBT_TCP,Timeout,180.0,8604,0.0,6842
static,Maze128,72,AStar,Timeout,180.0,17268,0.0,10701
static,Maze128,72,PIBT,Timeout,180.0,16956,0.0,9794
static,Maze128,72,PIBT_TCP,Timeout,180.0,17208,0.0,14463
dynamic,Alpha32,6,AStar,EagleDestroyed,38.3,185,6.0,63
dynamic,Alpha32,6,PIBT,EagleDestroyed,37.3,186,41.8,49
